index,키워드,키워드_빈도,포함 인물 수,포함 인물
114,독립신문,41,25,"김학봉(金學鳳), 서인필(徐仁弼), 문상직(文相直), 유명식(劉命寔), 최진순(崔瑨淳), 전옥결(全玉결), 황용기(黃龍起), 정인규(鄭寅奎), 이시종(李時鍾), 김수용(金秀瑢)"
115,도교도,41,41,"김용수(金龍洙), 박필주(朴弼周), 김원걸(金元杰), 김응도(金應道), 김형선(金泂宣), 이두천(李斗闡), 박진화(朴鎭化), 오병선(吳炳善), 김하경(金河京), 김병령(金炳領)"
116,정의,41,34,"김태순(金泰淳), 류영오(柳泳旿), 김윤원(金潤元), 나경산(羅景山), 김성륜(金聖輪), 전훤식(全萱植), 이창하(李昌河), 김중삼(金仲三), 박승린(朴承린), 김초돌(金初乭)"
117,선동,41,29,"박상규(朴祥奎), 변인덕(邊仁德), 이만권(李萬權), 이여종(李呂鍾), 김오룡(金五龍), 김사구(金思九), 이기택(李起澤), 홍점산(洪点山), 이돈석(李敦錫), 김정구(金鼎九)"
118,혈전,41,11,"정규식(鄭奎植), 김종진(金鍾振), 박용주(朴龍柱), 김익하(金益夏), 전대진(全大振), 전필순(全弼淳), 윤용주(尹龍周), 장현식(張鉉軾), 노준(魯駿), 민강(閔강)"
119,실형,41,11,"정규식(鄭奎植), 김종진(金鍾振), 박용주(朴龍柱), 김익하(金益夏), 전대진(全大振), 전필순(全弼淳), 윤용주(尹龍周), 장현식(張鉉軾), 노준(魯駿), 민강(閔강)"
120,보부상,41,11,"정규식(鄭奎植), 김종진(金鍾振), 박용주(朴龍柱), 김익하(金益夏), 전대진(全大振), 전필순(全弼淳), 윤용주(尹龍周), 장현식(張鉉軾), 노준(魯駿), 민강(閔강)"
121,결정,40,15,"황봉규(黃琫奎), 김명송(金明松), 최한례(崔翰澧), 황태성(黃泰成), 방동칠(方東七), 장하경(張河經), 정기환(鄭箕桓), 강완주(姜完珠), 서성근(徐成根), 안시웅(安時雄)"
122,원내,40,20,"김성구(金聲球), 홍기진(洪基鎭), 박성호(朴聖浩), 강흥락(姜興洛), 최명학(崔明鶴), 한림(韓林), 곽선죽(郭善竹), 이영식(李榮植), 도상록(都相祿), 김두석(金斗錫)"
123,낭독,40,38,"김상옥(金尙玉), 장일현(張日炫), 이정화(李禎華), 김용수(金龍守), 임용하(林容夏), 계시항(桂時恒), 김면교(金冕敎), 김지웅(金志雄), 김술근(金述根), 이강호(李康호)"
124,참가,40,35,"장병삼(張炳三), 김탁선(金鐸善), 이만권(李萬權), 김병주(金炳柱), 류병곤(柳炳坤), 김경수(金敬秀), 이정철(李正哲), 김탁(金鐸), 이동욱(李東煜), 정구갑(鄭龜甲)"
125,인도,40,33,"김태순(金泰淳), 류영오(柳泳旿), 김윤원(金潤元), 나경산(羅景山), 김성륜(金聖輪), 전훤식(全萱植), 이창하(李昌河), 김중삼(金仲三), 박승린(朴承린), 김초돌(金初乭)"
126,경찰,40,11,"이주득(李周得), 김수백(金壽伯), 김양칠(金良七), 김찬용(金贊用), 김길성(金吉成), 김주한(金周翰), 김장안(金長安), 박내명(朴來明), 김도지(金道知), 김부복(金夫卜)"
127,교부,39,33,"이형률(李亨律), 김형국(金衡國), 최필주(崔弼柱), 임창수(林昌洙), 신횡호(申鐄浩), 나성호(羅聖鎬), 이천탁(李天鐸), 김영운(金泳運), 박문익(朴文翼), 하야재철(河野在喆)"
128,발표,39,22,"조경화(趙敬化), 김계식(金界植), 유장호(柳章浩), 이정연(李鼎淵), 최장부(崔丈夫), 김술근(金述根), 안영근(安永根), 장동순(張東淳), 윤탁진(尹鐸振), 김용원(金容元)"
129,예배당,38,19,"이공후(李公厚), 박근성(朴根盛), 오태진(吳泰鎭), 전정준(全珽準), 이계창(李桂昌), 박근창(朴根昌), 이근식(李根軾), 국본수송(國本秀松), 오현향(吳玄鄕), 안경식(安敬植)"
130,침입,38,15,"유성우(柳晟佑), 남세혁(南世爀), 이춘우(李春雨), 정학순(鄭學順), 임찬일(林燦逸), 노말수(盧末守), 유인석(柳寅錫), 임석현(林錫鉉), 최경학(崔敬鶴), 한일수(韓一洙)"
131,교사,36,21,"변길성(卞吉成), 강연(姜沇), 이학룡(李學龍), 이일득(李一得), 신공량(申公良), 류준석(柳俊錫), 박희빈(朴熙彬), 김광덕(金光德), 윤유암(尹有岩), 안성호(安聖鎬)"
132,최창룡,36,18,"김시원(金始圓), 이득렬(李得烈), 김희걸(金稀杰), 지광연(池光淵), 이원경(李元敬), 김성률(金聖律), 고삼봉(高三峯), 한유성(韓有聖), 박동일(朴東日), 이근식(李根植)"
133,가담,36,30,"김병륜(金秉輪), 전병희(全炳熙), 정도원(鄭道源), 한창근(韓昌根), 황치헌(黃致憲), 최병한(崔丙漢), 박용간(朴龍幹), 이진식(李鎭植), 류준규(柳俊奎), 방강실(芳岡實)"
134,선언문,36,20,"박삼도(朴三道), 전동환(全東煥), 신공량(申公良), 오은영(吳恩泳), 조성룡(曺成龍), 서진령(徐鎭령), 이계창(李桂昌), 고영규(高營奎), 이용재(李龍在), 김종현(金宗鉉)"
135,자고,36,30,"주동률(朱東律), 임기정(林基正), 김길호(金吉浩), 윤보현(尹普鉉), 윤태병(尹泰炳), 임창숙(林昌淑), 김봉서(金鳳瑞), 조완수(趙完洙), 정인성(鄭寅成), 김승옥(金升玉)"
136,한용운,35,7,"박연서(朴淵瑞), 강대려(姜大呂), 강대의(姜大宜), 김형석(金亨錫), 나병규(羅炳奎), 김철회(金喆會), 김연수(金延洙)"
137,이강,35,7,"박연서(朴淵瑞), 강대려(姜大呂), 강대의(姜大宜), 김형석(金亨錫), 나병규(羅炳奎), 김철회(金喆會), 김연수(金延洙)"
138,동리,35,24,"정동찬(丁銅燦), 권영봉(權寧鳳), 권명주(權明周), 권오집(權五集), 권영희(權寧熺), 이상발(李尙撥), 권오영(權五英), 한정종(韓丁鍾), 권영구(權寧龜), 김운식(金云植)"
139,장학,35,12,"황구룡(黃九龍), 이봉남(李鳳南), 김택룡(金宅龍), 전우일(全宇一), 최운송(崔雲松), 최형식(崔亨植), 전남규(全南圭), 오상혁(吳商赫), 최령(崔領), 김일천(金一天)"
140,광복회,34,5,"김한종(金漢鍾), 김승태(金承泰), 임세규(林世圭), 김혜종(金惠鍾), 권성욱(權成旭)"
141,주동,34,15,"장귀남(張貴男), 이만석(李萬錫), 홍면(洪冕), 홍준옥(洪埈玉), 임팔용(林八龍), 최기홍(崔基弘), 김명제(金命濟), 정성교(鄭聖敎), 장호형(張浩享), 정흥룡(鄭興龍)"
142,태을선,33,20,"연산시화(延山始化), 오승언(吳承彦), 금곡태휴(金谷泰休), 오정숙(吳禎淑), 금정경식(金井景軾), 강석구(姜錫龜), 궁본성예(宮本聖裔), 장원국(張元國), 고두만(高斗萬), 이원두표(李原斗杓)"
143,폭행,33,12,"박봉일(朴鳳逸), 김성련(金成鍊), 김양칠(金良七), 김찬용(金贊用), 허영준(許英俊), 김익련(金益鍊), 허을(許○), 김장안(金長安), 류동렬(柳東烈), 강학남(姜學男)"
144,사람,32,22,"김순천(金順天), 김승일(金承一), 강내석(康乃錫), 천연도(千年桃), 조정삼(趙丁三), 송천경(宋遷景), 김성택(金聲澤), 김사구(金思九), 전성필(全晟弼), 김탁(金鐸)"
145,창설,32,21,"연산시화(延山始化), 오승언(吳承彦), 금곡태휴(金谷泰休), 오정숙(吳禎淑), 강석구(姜錫龜), 궁본성예(宮本聖裔), 홍이관(洪利寬), 장원국(張元國), 고두만(高斗萬), 이원두표(李原斗杓)"
146,계획,32,14,"이필화(李苾和), 이강호(李康호), 한탁렬(韓鐸烈), 서진(徐震), 국진순(鞠眞淳), 이재연(李載淵), 이삼희(李三喜), 주병해(朱秉海), 김동목(金東穆), 은경옥(殷慶玉)"
147,권유,32,26,"박삼도(朴三道), 한길상(韓吉祥), 안형섭(安炯燮), 정석룡(鄭錫龍), 최전화(最塡和), 신횡호(申鐄浩), 김성택(金聲澤), 김승옥(金升玉), 서정희(徐廷禧), 김부문(金富文)"
148,생도,31,28,"이동욱(李東昱), 임기정(林基正), 이학룡(李學龍), 윤상은(尹想殷), 김길호(金吉浩), 박성철(朴性哲), 김관룡(金寬龍), 오시권(吳時勸), 정인성(鄭寅成), 정홍모(鄭鴻謨)"
149,출원,31,31,"산성능진(山城能珍), 강본기준(江本基俊), 서원승인(西原昇寅), 금산성업(金山性業), 박현환(朴賢煥), 금산항복(金山恒福), 오봉빈(吳鳳彬), 백천응현(白川應賢), 안등명식(安藤明埴), 허용성(許龍成)"
150,상이,31,31,"산성능진(山城能珍), 강본기준(江本基俊), 서원승인(西原昇寅), 금산성업(金山性業), 박현환(朴賢煥), 금산항복(金山恒福), 오봉빈(吳鳳彬), 백천응현(白川應賢), 안등명식(安藤明埴), 허용성(許龍成)"
151,민주주의,31,31,"산성능진(山城能珍), 강본기준(江本基俊), 서원승인(西原昇寅), 금산성업(金山性業), 박현환(朴賢煥), 금산항복(金山恒福), 오봉빈(吳鳳彬), 백천응현(白川應賢), 안등명식(安藤明埴), 허용성(許龍成)"
152,폐제,31,19,"연산시화(延山始化), 오승언(吳承彦), 금곡태휴(金谷泰休), 오정숙(吳禎淑), 금정경식(金井景軾), 강석구(姜錫龜), 궁본성예(宮本聖裔), 장원국(張元國), 고두만(高斗萬), 이원두표(李原斗杓)"
153,시도,31,11,"박기래(朴琪來), 결성영구(結城永九), 김규수(金奎秀), 임재신(林在信), 김기태(金基泰), 청풍수정(淸風秀正), 박천홍(朴天洪), 덕산순태(德山淳泰), 김현태(金鉉泰), 신건희(申健熙)"
154,황해도,31,18,"유형근(兪亨根), 김병화(金秉華), 김치서(金致瑞), 류용준(柳龍俊), 오사선(吳四善), 이진각(李鎭珏), 염준호(廉俊鎬), 최봉조(崔鳳祚), 곽준명(郭俊明), 임광채(林光彩)"
155,신용,31,11,"김중식(金重植), 최찬섭(崔瓚燮), 최재식(崔在植), 서병돈(徐丙敦), 고봉학(高鳳鶴), 이병구(李丙求), 이전영(李前榮), 임운선(任雲善), 오복영(吳福永), 최병택(崔秉宅)"
156,뒷산,31,30,"김제룡(金濟龍), 장영옥(張永玉), 구문일(具文一), 김용섭(金用燮), 김명길(金命吉), 김해룡(金海龍), 이복구(李福求), 박소봉(朴小奉), 정남준(鄭南俊), 박원칠(朴元七)"
157,언동,31,25,"김원진(金元鎭), 박필주(朴弼周), 이봉순(李鳳舜), 유복렬(柳復烈), 오은영(吳恩泳), 금산무등(金山武登), 노동산(盧東山), 김약준(金若濬), 정인하(鄭寅夏), 국본수송(國本秀松)"
158,우리,30,15,"금해건호(金海健鎬), 김봉구(金鳳九), 김유근(金有根), 공본복순(孔本福順), 서강대원(瑞岡大圓), 최수련(崔壽連), 김용희(金用熙), 신주학(申周學), 송일길(宋日吉), 금택용서(金澤鏞瑞)"
159,평화,30,23,"차인규(車寅奎), 이응화(李應華), 최병교(崔秉敎), 문평경호(文平京浩), 양의근(楊義根), 김연순(金蓮順), 독고선(獨孤璇), 이경서(李景瑞), 김귀남(金貴南), 류해경(柳海京)"
160,방법,30,18,"유시국(劉時國), 최상린(崔祥麟), 황중문(黃仲文), 김운하(金雲河), 최수만(崔壽萬), 김일곤(金日坤), 이순흥(李順興), 오운산(吳雲山), 김용성(金容成), 노용빈(盧龍斌)"
161,신흥,30,15,"장병삼(張炳三), 김영한(金靈漢), 안경식(安敬植), 송영환(宋永煥), 박근성(朴根盛), 홍기주(洪箕疇), 박근창(朴根昌), 이겸노(李謙魯), 홍기황(洪基璜), 장치남(張治南)"
162,우편,30,12,"김중식(金重植), 최찬섭(崔瓚燮), 최재식(崔在植), 서병돈(徐丙敦), 이병구(李丙求), 임운선(任雲善), 이전영(李前榮), 오복영(吳福永), 최병택(崔秉宅), 오윤선(吳允善)"
163,동참,29,14,"안성호(安聖鎬), 이활란(李活蘭), 양재순(梁載淳), 강연(姜沇), 김관회(金寬會), 김현경(金賢敬), 류준석(柳俊錫), 김동혁(金東赫), 박루이사(朴婁以士), 윤봉균(尹鳳均)"
164,수십,29,21,"엄본성(嚴本成), 심점봉(沈点奉), 권은(權慇), 박성철(朴性哲), 황옥(黃鈺), 한백석(韓百石), 정홍모(鄭鴻謨), 이재록(李在祿), 이득수(李得壽), 김춘수(金春洙)"
165,세계,29,18,"김용술(金用述), 김준영(金俊永), 김태준(金泰濬), 류낙수(柳洛秀), 김약준(金若濬), 양원계초(良元啓超), 신병칠(辛秉七), 이경서(李景瑞), 김탁(金鐸), 김승신(金承信)"
166,저지,29,27,"김용수(金龍洙), 김원걸(金元杰), 김응도(金應道), 김형선(金泂宣), 이두천(李斗闡), 박진화(朴鎭化), 오병선(吳炳善), 김하경(金河京), 김병령(金炳領), 김여진(金麗鎭)"
167,발동,29,16,"장세급(張世급), 이진익(李璡翼), 윤정길(尹鼎吉), 김건찬(金建瓚), 주중건(朱重建), 김이범(金李範), 이창하(李昌河), 박인진(朴寅鎭), 백관범(白琯範), 주의락(朱義洛)"
168,찬동,29,26,"이형률(李亨律), 김병수(金丙洙), 김양순(金良順), 김형로(金瀅櫓), 조종현(趙宗玄), 박진화(朴秦和), 박문익(朴文翼), 이기택(李起澤), 박용태(朴容泰), 조내원(趙來源)"
169,위해,29,17,"하홍기(河洪基), 김선태(金璿泰), 염처학(廉處學), 심문식(沈文植), 정명주(鄭命周), 이병성(李秉性), 김병홍(金秉泓), 주승렬(朱承烈), 최일만(崔壹萬), 정일섭(鄭日燮)"
170,동포,28,17,"고산홍석(高山洪錫), 고산규협(高山圭俠), 유석우(庾錫祐), 송원문헌(松原文憲), 김규열(金圭烈), 김용희(金用熙), 정원호(鄭源浩), 이약한(李約翰), 강일영(姜日永), 전준희(全俊禧)"
171,허가,28,14,"이명종(李明鍾), 안성호(安聖鎬), 이활란(李活蘭), 양재순(梁載淳), 강연(姜沇), 김관회(金寬會), 김현경(金賢敬), 류준석(柳俊錫), 현언동(玄彦東), 박루이사(朴婁以士)"
172,선인,28,8,"천본구웅(川本久雄), 이홍국(李弘國), 결성영구(結城永九), 임재신(林在信), 청풍수정(淸風秀正), 덕산순태(德山淳泰), 김응률(金應律), 김운종(金雲鍾)"
173,병주,28,18,"성도환(成道煥), 이용각(李龍珏), 권숙린(權肅린), 김치수(金致壽), 신순근(辛淳根), 원이돌(元李突), 명치택(明治澤), 한창순(韓昌順), 이금봉(李今奉), 한창룡(韓昌龍)"
174,수명,28,23,"김병륜(金秉輪), 옥천홍섭(玉川弘燮), 한창근(韓昌根), 금택용서(金澤鏞瑞), 이정(李정), 김정렬(金丁烈), 박소봉(朴小奉), 김석규(金錫圭), 김석준(金石準), 김경권(金京權)"
175,연호,28,23,"김명출(金明出), 김도식(金道式), 이화실(李華實), 마갑문(馬甲文), 채희각(蔡凞覺), 김삭불(金朔不), 김석규(金錫圭), 주용길(朱龍吉), 장용암(張龍岩), 전순환(全順煥)"
176,내용,28,16,"한남수(韓南洙), 정후민(鄭候敏), 이춘균(李春均), 이대흥(李大興), 이요습(李要習), 김사국(金思國), 한동석(韓銅錫), 윤규호(尹圭祜), 임창수(林昌洙), 김호준(金鎬俊)"
177,장애,28,10,"김중식(金重植), 최찬섭(崔瓚燮), 최재식(崔在植), 서병돈(徐丙敦), 이병구(李丙求), 임운선(任雲善), 이전영(李前榮), 오복영(吳福永), 최병택(崔秉宅), 오윤선(吳允善)"
178,패배,27,7,"방본홍벽(邦本鴻壁), 장원한철(張元漢哲), 결성영구(結城永九), 임재신(林在信), 청풍수정(淸風秀正), 덕산순태(德山淳泰), 천본구웅(川本久雄)"
179,가지,27,26,"김동현(金東炫), 송종근(宋鍾根), 안종화(安鍾和), 남흥성(南興成), 김시중(金時中), 추은정(秋殷町), 김익룡(金益龍), 고민룡(高敏龍), 유성우(柳晟佑), 김정식(金貞植)"
180,인쇄물,27,14,"박판종(朴判宗), 최영식(崔永植), 이춘균(李春均), 김학봉(金學鳳), 공흥문(孔興文), 김민규(金敏奎), 한상봉(韓相鳳), 김우약(金禹若), 원봉진(元鳳津), 이종린(李鍾麟)"
181,이진형,27,9,"조인애(曹仁愛), 김갑규(金甲奎), 장덕기(張德基), 채공필(蔡公弼), 최창인(崔昌仁), 방렬(方烈), 유경식(劉瓊植), 김영돈(金永敦), 장동원(張東元)"
182,황도,27,9,"조인애(曹仁愛), 김갑규(金甲奎), 장덕기(張德基), 채공필(蔡公弼), 최창인(崔昌仁), 방렬(方烈), 유경식(劉瓊植), 김영돈(金永敦), 장동원(張東元)"
183,환등,27,9,"조인애(曹仁愛), 김갑규(金甲奎), 장덕기(張德基), 채공필(蔡公弼), 최창인(崔昌仁), 방렬(方烈), 유경식(劉瓊植), 김영돈(金永敦), 장동원(張東元)"
184,출판,27,13,"류훈상(柳勳相), 김응집(金應集), 김승한(金承翰), 이화선(李化善), 김교상(金敎爽), 이규용(李奎鎔), 진평헌(陳平軒), 류동붕(柳東鵬), 최남선(崔南善), 이보식(李輔植)"
185,도로,27,25,"김기수(金基洙), 정귀인(鄭貴仁), 원준서(元俊瑞), 조인환(曹寅煥), 노용빈(盧龍斌), 주종찬(朱宗讚), 미파평숙(美波平淑), 박영환(朴榮煥), 석련극(石鍊極), 장용암(張龍岩)"
186,야구,27,9,"홍면(洪冕), 홍복룡(洪福龍), 홍준옥(洪埈玉), 임팔용(林八龍), 김도정(金度貞), 김성실(金成實), 김명제(金命濟), 박춘흥(朴春興), 민용운(閔龍雲)"
187,광삼,27,9,"홍면(洪冕), 홍복룡(洪福龍), 홍준옥(洪埈玉), 임팔용(林八龍), 김도정(金度貞), 김성실(金成實), 김명제(金命濟), 박춘흥(朴春興), 민용운(閔龍雲)"
188,기회,26,18,"이인영(李寅永), 강경화(姜敬化), 손경호(孫庚虎), 조동룡(趙東龍), 강완주(姜完珠), 손치우(孫致祐), 안전한옥(安田漢玉), 김운화(金雲化), 박만관(朴萬官), 배세동(裵世동)"
189,사실,26,24,"김순구(金舜九), 이태형(李台炯), 허응숙(許應숙), 류병곤(柳炳坤), 방형묵(方亨默), 이영래(李永來), 정근호(鄭根鎬), 최재준(崔載俊), 진석린(陳錫麟), 임찬급(林燦及)"
190,고취,26,13,"김창순(金昌順), 김학봉(金學鳳), 서인필(徐仁弼), 송명옥(宋明玉), 강연권(姜淵權), 한탁렬(韓鐸烈), 류봉기(柳奉基), 주병해(朱秉海), 김귀생(金貴生), 고명철(高明哲)"
191,역전,26,13,"유극로(兪極老), 전동환(全東煥), 김용희(金用熙), 김철환(金鐵煥), 김탁원(金鐸遠), 박윤하(朴潤夏), 강일영(姜日永), 남정채(南廷彩), 양호갑(梁好甲), 장기욱(張基郁)"
192,사상,26,13,"고산홍석(高山洪錫), 송본종근(宋本琮根), 이정률(李廷律), 한탁렬(韓鐸烈), 이병의(李丙儀), 양산재만(陽山在萬), 김형도(金亨道), 주병해(朱秉海), 김청풍(金淸風), 고명철(高明哲)"
193,제공,25,14,"송산무웅(松山武雄), 이대정(李大鼎), 채신묵(蔡信默), 손화삼(孫華三), 노화범(盧和範), 이기두(李基斗), 한원칠(韓元七), 강극모(姜克模), 안형섭(安炯燮), 안억준(安檍焌)"
194,일반인,25,14,"안성호(安聖鎬), 이병철(李丙哲), 이활란(李活蘭), 양재순(梁載淳), 강연(姜沇), 김관회(金寬會), 송본광홍(松本光弘), 김현경(金賢敬), 류준석(柳俊錫), 현언동(玄彦東)"
195,만국,25,21,"신상우(申相雨), 차인규(車寅奎), 박경흥(朴慶興), 이진식(李鎭植), 독고선(獨孤璇), 정병모(鄭丙謨), 류해경(柳海京), 신국홍(申國洪), 이한춘(李漢春), 손덕겸(孫德謙)"
196,공립,25,19,"이동욱(李東昱), 조영근(曺永根), 김진기(金鎭淇), 김우진(金宇鎭), 정진완(鄭鎭琬), 신순근(申順根), 박만갑(朴萬甲), 김경진(金景珍), 박윤무(朴允茂), 김칠종(金七鍾)"
197,조직,25,24,"홍원영(洪元榮), 김정환(金正煥), 영가태웅(永佳泰雄), 청촌의(淸村義), 황일보(黃一甫), 박재하(朴載廈), 현칠종(玄七鍾), 이주화(李周和), 김규극(金奎極), 김홍계(金洪桂)"
198,해산,25,7,"김우한(金禹漢), 김몽룡(金夢龍), 주영철(朱永澈), 장병섭(張炳涉), 박규성(朴圭星), 최목형(崔穆亨), 양성용(梁成龍)"
199,경찰관,25,14,"박재엽(朴在曄), 김술병(金述秉), 박계갑(朴桂甲), 박범룡(朴範龍), 김은호(金殷鎬), 이동홍(李東洪), 김용문(金用文), 유의호(柳宜鎬), 유진홍(兪鎭弘), 유성렬(劉性烈)"
200,서적,24,21,"남궁태(南宮○), 목산항규(牧山恒珪), 이병국(李炳國), 궁본권현(宮本權鉉), 김한섭(金漢燮), 송본길평(松本吉平), 청정환(淸井桓), 최종엽(崔宗燁), 김민옥(金玟玉), 이연호(李淵湖)"
201,전국,24,22,"백상규(白相奎), 김창준(金昌俊), 홍득린(洪得麟), 김취곤(金聚坤), 류상순(柳相淳), 신국홍(申國洪), 한병익(韓秉益), 정춘수(鄭春洙), 문은종(文殷鍾), 문정환(文廷煥)"
202,해방,24,20,"송원박(宋原博), 덕산숙범(悳山淑範), 우영구(禹英九), 이가정순(李家廷順), 정의식(鄭宜植), 이정섭(李晶燮), 서원붕교(西原鵬敎), 송포윤(宋浦潤), 대촌행량(大村幸良), 금영준회(金永俊會)"
203,지휘,24,24,"김태순(金泰淳), 원세후(元世후), 최자근동(崔者斤同), 변인덕(邊仁德), 전훤식(全萱植), 이창룡(李昌龍), 양대삼(梁大三), 이인봉(李仁鳳), 권태현(權泰顯), 윤자학(尹滋學)"
204,대내,24,24,"김용수(金龍洙), 김원걸(金元杰), 김응도(金應道), 김형선(金泂宣), 이두천(李斗闡), 박진화(朴鎭化), 오병선(吳炳善), 김하경(金河京), 김병령(金炳領), 김여진(金麗鎭)"
205,높이,24,19,"박범룡(朴範龍), 김계한(金啓漢), 주동률(朱東律), 김일곤(金日坤), 김익현(金翊顯), 이복구(李福求), 김병진(金秉軫), 김은호(金殷鎬), 김영목(金永睦), 이백룡(李白龍)"
206,공공,24,8,"박진갑(朴辰甲), 김찬희(金燦熙), 송병철(宋秉喆), 박순장(朴淳璋), 유인수(兪仁洙), 장석영(張錫永), 김교승(金敎承), 김동익(金東益)"
207,전차,24,8,"박진갑(朴辰甲), 김찬희(金燦熙), 송병철(宋秉喆), 박순장(朴淳璋), 유인수(兪仁洙), 장석영(張錫永), 김교승(金敎承), 김동익(金東益)"
208,복사,24,16,"변길성(卞吉成), 이진규(李眞圭), 김유문(金裕問), 이도준(李道俊), 이강호(李康호), 전세종(田世鍾), 양기철(梁基哲), 이건태(李建台), 임병률(林秉律), 은경옥(殷慶玉)"
209,권총,24,10,"이종만(李鐘萬), 유성우(柳晟佑), 김내찬(金○贊), 김정욱(金貞郁), 유택수(柳澤秀), 현덕균(玄德均), 황옥(黃鈺), 박노동(朴魯東), 홍종우(洪鍾祐), 문남용(文南用)"
210,수백,24,19,"장춘식(張春植), 조술현(曺述鉉), 조장록(趙長錄), 이영수(李永秀), 윤영규(尹寧圭), 김이제(金利濟), 정일선(丁一善), 최복석(崔復錫), 김달년(金達年), 장찬진(張燦鎭)"
211,자유민,24,10,"장세급(張世급), 이진익(李璡翼), 전경석(全景錫), 유연화(柳淵和), 주중건(朱重建), 김이범(金李範), 박인진(朴寅鎭), 주의락(朱義洛), 김덕모(金德模), 주관헌(朱寬憲)"
212,교도,24,22,"박시훈(朴時薰), 안병철(安秉喆), 박관식(朴寬植), 이진후(李震厚), 박봉우(朴鳳虞), 이치홍(李致洪), 노동산(盧東山), 유근성(柳根成), 이형봉(李亨鳳), 박봉준(朴鳳濬)"
213,사건,24,8,"안동영목(安東寧牧), 조기수(趙基洙), 대강룡지조(大江龍之助), 최명남(崔明南), 이기남(李基南), 최명철(崔明喆), 정희수(鄭禧洙), 정석화(鄭錫和)"
214,여러,23,14,"홍인표(洪仁杓), 이영규(李永奎), 신종범(愼宗範), 박성오(朴星午), 김사구(金思九), 김영기(金寧基), 이언강(李彦綱), 남진희(南軫熙), 오형선(吳瀅善), 윤인중(尹寅重)"
215,하자,23,15,"양규섭(梁奎涉), 한삼석(韓三石), 주동섭(朱東燮), 권숙린(權肅린), 김연택(金然澤), 암촌우영(岩村友影), 이봉확(李鳳崔), 송일길(宋日吉), 유세근(柳世根), 이태형(李台炯)"
216,폭등,23,23,"정효식(鄭孝植), 강상돈(康相敦), 김수한(金壽漢), 민영진(閔泳鎭), 송복남(宋福男), 조금동(趙金東), 태옥동(太玉童), 한기천(韓基天), 송진수(宋鎭秀), 조종운(趙鍾雲)"
217,퇴장,23,23,"정효식(鄭孝植), 강상돈(康相敦), 김수한(金壽漢), 민영진(閔泳鎭), 송복남(宋福男), 조금동(趙金東), 태옥동(太玉童), 한기천(韓基天), 송진수(宋鎭秀), 조종운(趙鍾雲)"
218,상해,23,16,"김취곤(金聚坤), 이여종(李呂鍾), 김창숙(金昌淑), 황금술(黃金述), 김석(金晳), 강연권(姜淵權), 고태현(高台鉉), 박희숙(朴熙淑), 유창목(兪昌穆), 송기주(宋己柱)"
219,평등,23,19,"오문규(吳文奎), 부태환(夫泰煥), 김유환(金유煥), 안구현(安九玹), 김태안(金泰安), 문재진(文在珍), 이신호(李辛祜), 김민화(金玟華), 고운선(高雲善), 이익우(李益雨)"
220,청소년,23,19,"오문규(吳文奎), 부태환(夫泰煥), 김유환(金유煥), 안구현(安九玹), 김태안(金泰安), 문재진(文在珍), 이신호(李辛祜), 김민화(金玟華), 고운선(高雲善), 이익우(李益雨)"
221,경선,23,23,"윤귀룡(尹貴龍), 이인영(李寅永), 김창현(金昌玄), 윤원삼(尹愿三), 이계창(李桂昌), 김응관(金應寬), 박윤하(朴潤夏), 이열성(李烈性), 양주흡(梁周洽), 전준희(全俊禧)"
222,단원,23,17,"남상정(南相禎), 김재희(金在禧), 박재수(朴在洙), 권점동(權点同), 이일득(李一得), 정석룡(鄭錫龍), 구남회(具南會), 김두영(金杜榮), 김창일(金昌鎰), 유진환(柳振桓)"
223,병기,23,6,"김한종(金漢鍾), 김승태(金承泰), 임세규(林世圭), 하동해안(河東海晏), 권성욱(權成旭), 설운룡(薛雲龍)"
224,차례,23,13,"김병연(金秉璉), 유성우(柳晟佑), 김영기(金寧基), 차성수(車性洙), 장춘식(張春植), 김두백(金枓白), 장창희(張昌熙), 손영권(孫永權), 허영원(許永元), 남진희(南軫熙)"
225,신도,23,18,"박인건(朴寅鍵), 김홍식(金鴻植), 이종명(李鍾溟), 양동선(梁東璿), 이창옥(李昌玉), 김응주(金應疇), 김사국(金士國), 김진오(金鎭五), 박내윤(朴來潤), 원낙구(元洛龜)"
226,일본,23,15,"선원기평(善元基平), 김용병(金瑢炳), 서강대원(瑞岡大圓), 방본홍벽(邦本鴻壁), 주정식(朱廷植), 김평원(金平遠), 암촌우영(岩村友影), 이판길(李判吉), 삼산명호(森山明鎬), 장원한철(張元漢哲)"
227,연통제,22,22,"최형욱(崔衡郁), 김동식(金東湜), 석인욱(石麟郁), 석인제(石麟濟), 최붕남(崔鵬南), 이희복(李熙馥), 강학병(姜鶴秉), 민강(閔강), 최창악(崔昌岳), 전용락(全龍洛)"
228,학생,22,18,"김원벽(金元壁), 심헌섭(沈憲燮), 인운식(印雲植), 금촌용규(金村容圭), 이도상(李道相), 인학수(印鶴洙), 한영수(韓泳洙), 이봉소(李鳳韶), 윤가현(尹珂鉉), 유돌기(柳乭基)"
229,이탈,22,22,"강필구(姜弼求), 남궁태(南宮○), 김인권(金仁權), 서원건웅(西原健雄), 김중섭(金重燮), 배수겸(裵秀謙), 고산종근(高山鍾根), 김상국(金相國), 이연호(李淵湖), 차봉남(車鳳南)"
